"","YawRate","Rolling","Rudder"
"834",-0.4,1.06,-7.09
"835",-1.8,3.23,-6.6
"836",-3.29,4.97,-5.61
"837",-3.91,6.67,-5.87
"838",-2.18,7,-7.06
"839",-0.03,6.06,-6.93
"840",0.53,4.64,-6.33
"841",0.4,3.68,-5.6
"842",0.16,2.27,-6.12
"843",-1.5,1.68,-3.86
"844",-1.66,1.13,-2.05
"845",-0.52,0.31,-0.45
"846",1.77,-0.27,-0.54
"847",2.89,-1.71,-1.17
"848",1.86,-1.99,-0.44
"849",-1.79,-1.77,-0.41
"850",-4.56,0.02,1.27
"851",-5.8,2.07,0.98
"852",-3.85,4.29,-0.26
"853",-1.12,6.27,-3.77
"854",0.85,6.49,-5.04
"855",1.46,6.06,-5.22
"856",1.32,5.17,-6.91
"857",0.56,2.71,-6.85
"858",-0.97,2.12,-6.57
"859",-2.48,1.5,-5.69
"860",-3.2,0.92,-4.99
"861",-2.08,0.59,-3.69
"862",0.22,-0.02,-3.18
"863",1,-0.12,-1.81
"864",-0.06,-0.28,-0.88
"865",-1.29,0.34,-1.5
"866",-2.5,0.82,-2.16
"867",-3.39,2.23,-1.68
"868",-2.72,3.84,-1.48
"869",-2.23,4.66,-0.35
"870",-3.07,5.44,-1.28
"871",-3.16,5.27,-1.67
"872",-0.94,4.68,-3.13
"873",1.75,3.51,-4.47
"874",1.88,1.05,-7.29
"875",0.32,0.38,-7.34
"876",-0.32,0.04,-7.79
"877",-0.82,0.56,-7.22
"878",-3.35,1.25,-6.55
"879",-5.76,2.3,-4
"880",-5.21,4.34,-2.76
"881",-1.18,5.31,-0.32
"882",1.82,4.63,-1.08
"883",1.75,3.45,-1.08
"884",-0.01,2.23,-0.13
"885",-1.92,2.45,1.24
"886",-2.61,2.33,0.6
"887",-2.08,2.16,-3.7
"888",-1.19,2.42,-7.87
"889",-0.45,2.12,-10.08
"890",-0.79,2.1,-10.45
"891",-2.2,1.59,-12.56
"892",-2.96,1.82,-12.07
"893",-1.38,1.71,-7.94
"894",0.95,2.8,-4.54
"895",2.34,2.54,-1.47
"896",0.96,2.57,-0.72
"897",-0.92,2.81,-0.86
"898",-1.97,3.38,-1.26
"899",-2.03,3.8,-1.23
"900",-2.31,4.29,-0.41
"901",-4.18,4.39,-0.3
"902",-5.24,4.36,1.32
"903",-4.24,3.57,0
"904",-0.6,2.05,-4.37
"905",2.1,-0.17,-6.96
"906",2.16,-1.54,-7.87
"907",0.67,-2.04,-7.14
"908",0.03,-1.97,-8.18
"909",-0.64,-0.83,-8.36
"910",-1.37,1,-6.09
"911",-2.44,3.29,-3.52
"912",-2.08,6.15,-1.5
"913",-1.64,7.47,-0.26
"914",-2.68,7.94,1.6
"915",-3.14,7.93,1.02
"916",-4.8,8.32,-0.51
"917",-5.47,7.68,-4.01
"918",-4.52,5.8,-7.47
"919",-1.7,3.06,-8.97
"920",2.07,0.67,-10.91
"921",4.96,-1.95,-12.72
"922",5.95,-2.96,-12.97
"923",3.85,-2.48,-10.2
"924",0.13,-1.16,-6.31
"925",-3.11,0.8,-1.48
"926",-3.46,3.05,0.34
"927",-1.28,3.81,1.77
"928",0.49,3.66,1.77
"929",0.06,3.28,-0.01
"930",-2.77,2.54,-1.82
"931",-4.4,2.08,-3.77
"932",-4.01,1.76,-5.41
"933",-2.58,1.87,-5.59
"934",0.17,2.35,-6.32
"935",2.63,2.37,-6.84
"936",3.92,1.66,-5.93
"937",2.79,2.23,-7.48
"938",0.65,3.5,-7.84
"939",-1.82,4.28,-5.6
"940",-2.3,5.34,-3.4
"941",-1.75,5.76,-1.82
"942",-1.98,5.67,-0.45
"943",-2.68,5.71,-0.01
"944",-3.26,4.97,1.52
"945",-3.1,3.45,0.16
"946",-2.32,2.62,-4.4
"947",-2.1,1.44,-6.78
"948",-0.6,0.14,-7.19
"949",0.86,-0.98,-8.18
"950",0.53,-1.3,-6.98
"951",-0.83,0,-7.68
"952",-2.15,1.18,-8.27
"953",-2.29,3.08,-6.56
"954",-1.04,5.52,-4.65
"955",0.88,6.27,-3.26
"956",0.98,7,-2.13
"957",-1.7,6.12,-1.57
"958",-5.33,6.34,-0.34
"959",-6.2,6.09,-0.84
"960",-4.32,5.51,-1.54
"961",-1.57,3.57,-2.49
"962",0.24,1.41,-4.95
"963",-0.22,-0.4,-6.65
"964",-1.37,-0.79,-5.79
"965",-1.96,-1.46,-7.52
"966",-1.38,-0.53,-8.24
"967",0.24,0.83,-9.06
"968",2.48,2.26,-8.91
"969",2.84,2.93,-8.43
"970",-0.49,3.96,-5.23
"971",-5.16,5.95,-1.29
"972",-6.45,7.91,1.64
"973",-4.83,8.44,1.12
"974",-1.95,7.37,-0.48
"975",-0.17,4.84,-3.89
"976",0.36,2.24,-6.36
"977",-0.47,-0.26,-5.76
"978",-1.08,-1.94,-7.41
"979",0.1,-3.22,-8.08
"980",0.36,-3.36,-8.56
"981",-0.21,-2.39,-9.33
"982",-2.13,-0.26,-6.98
"983",-3.01,2.09,-3.58
"984",-1.38,3.48,-2.13
"985",1.22,3.57,-1.34
"986",1.95,3.43,0.6
"987",0.64,2.79,0.69
"988",-2.19,2.27,0.38
"989",-4.42,1.89,-0.36
"990",-3.93,1.09,-0.83
"991",-1.55,1.18,-4.94
"992",1.88,0.33,-7.07
"993",3.82,-0.24,-6.84
"994",2.16,-2,-8.64
"995",-1.03,-1.52,-9.14
"996",-3.25,-0.25,-7.2
"997",-3.4,1.51,-4.12
"998",-1.6,2.17,-3.23
"999",-0.21,2.91,-1.89
"1000",1.49,3.58,-1.41
